asset_type,asset_type_category,asset_type_category_raf_reviewed,asset_gics_industry,industry_code
Environment renewable natural resources,Agricultural & Food Production,Other (20km buffer area of influence),?,
Garden,Agricultural & Food Production,,?,
Aerated drinks supplier,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Alcohol manufacturer,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Beverage supplier,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Beverages,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Bottled water supplier,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Brewery,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Distillery,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Mineral water company,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Sake brewery,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Tea manufacturer,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Winery,Agricultural & Food Production,,Beverages,302010
Agricultural service,Agricultural & Food Production,Agricultural & Food Production,Commercial Services & Supplies,202010
Flavours fragrances and aroma supplier,Agricultural & Food Production,Agricultural & Food Production,Consumer Staples Distribution & Retail,301010
Frozen dessert supplier,Agricultural & Food Production,Agricultural & Food Production,Consumer Staples Distribution & Retail,301010
Agricultural,Agricultural & Food Production,,Food Products,302020
Agricultural cooperative,Agricultural & Food Production,,Food Products,302020
agricultural organisation,Agricultural & Food Production,,Food Products,302020
Agricultural organization,Agricultural & Food Production,,Food Products,302020
Agricultural production,Agricultural & Food Production,,Food Products,302020
"Agricultural service, Service establishment",Agricultural & Food Production,,Food Products,302020
Agriculture,Agricultural & Food Production,,Food Products,302020
Aquaculture farm,Agricultural & Food Production,,Food Products,302020
Cannery,Agricultural & Food Production,,Food Products,302020
Cattle farm,Agricultural & Food Production,,Food Products,302020
Cattle Feedlot,Agricultural & Food Production,,Food Products,302020
Cheese manufacturer,Agricultural & Food Production,,Food Products,302020
chicken hatchery,Agricultural & Food Production,,Food Products,302020
Chocolate factory,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Chocolate factory, Food manufacturing supply",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
coffee roasters,Agricultural & Food Production,,Food Products,302020
Crop grower,Agricultural & Food Production,,Food Products,302020
Dairy,Agricultural & Food Production,,Food Products,302020
Dairy farm,Agricultural & Food Production,,Food Products,302020
Dairy supplier,Agricultural & Food Production,,Food Products,302020
"enteric-fermentation-cattle-feedlot,manure-management-cattle-feedlot",Agricultural & Food Production,,Food Products,302020
Farm,Agricultural & Food Production,,Food Products,302020
Farming and cattle raising,Agricultural & Food Production,,Food Products,302020
Feed manufacturer,Agricultural & Food Production,,Food Products,302020
Fish farm,Agricultural & Food Production,,Food Products,302020
Fish industry,Agricultural & Food Production,,Food Products,302020
Fish processing,Agricultural & Food Production,,Food Products,302020
Flour mill,Agricultural & Food Production,,Food Products,302020
Food,Agricultural & Food Production,,Food Products,302020
Food industry,Agricultural & Food Production,,Food Products,302020
Food manufacturer,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Food manufacturer, Marketing consultant",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Food manufacturing supply,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Food processing company,Agricultural & Food Production,,Food Products,302020
"Food processing company, Food service",Agricultural & Food Production,,Food Products,302020
Food producer,Agricultural & Food Production,,Food Products,302020
food production,Agricultural & Food Production,,Food Products,302020
Food products supplier,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Food products supplier, Manufacturer",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Food seasoning manufacturer,Agricultural & Food Production,,Food Products,302020
Frozen food manufacturer,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Fruit and vegetable processing,Agricultural & Food Production,,Food Products,302020
Greenhouse,Agricultural & Food Production,,Food Products,302020
horse breeder,Agricultural & Food Production,,Food Products,302020
Livestock breeder,Agricultural & Food Production,,Food Products,302020
livestock producer,Agricultural & Food Production,,Food Products,302020
"Manufacturer, Food products supplier",Agricultural & Food Production,,Food Products,302020
"Manufacturer, Meat processor",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Meat packer,Agricultural & Food Production,,Food Products,302020
Meat processor,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
olive oil bottling company,Agricultural & Food Production,,Food Products,302020
"Organic farm, Service establishment",Agricultural & Food Production,,Food Products,302020
Organic Operation,Agricultural & Food Production,,Food Products,302020
pet food and animal feeds,Agricultural & Food Production,,Food Products,302020
Poultry farm,Agricultural & Food Production,,Food Products,302020
Ranch,Agricultural & Food Production,,Food Products,302020
Rice mill,Agricultural & Food Production,,Food Products,302020
Seafood farm,Agricultural & Food Production,,Food Products,302020
Seed supplier,Agricultural & Food Production,,Food Products,302020
Slaughterhouse,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Slaughterhouse, Manufacturer, Meat packer",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
sod supplier,Agricultural & Food Production,,Food Products,302020
staple food package,Agricultural & Food Production,,Food Products,302020
Sugar factory,Agricultural & Food Production,,Food Products,302020
tree farm,Agricultural & Food Production,,Food Products,302020
vineyard,Agricultural & Food Production,,Food Products,302020
Dude ranch,Agricultural & Food Production,Agricultural & Food Production,"Hotels, Restaurants & Leisure",253010
Forestry service,Agricultural & Food Production,,Paper & Forest Products,151050
Logging contractor,Agricultural & Food Production,Agricultural & Food Production,Paper & Forest Products,151050
Cotton mill,Agricultural & Food Production,Agricultural & Food Production,"Textiles, Apparel & Luxury Goods",252030
electric utility company,Electricity Distribution,,Electric Utilities,551010
Electric vehicle charging station,Electricity Distribution,,Electric Utilities,551010
Electric vehicle charging station contractor,Electricity Distribution,,Electric Utilities,551010
Electrical substation,Electricity Distribution,,Electric Utilities,551010
electricity board,Electricity Distribution,,Electric Utilities,551010
Distribution Service,Transportation and Logistics Facility,,Distributors,255010
River,Energy Production,Other (20km buffer area of influence),?,
electricity-generation,Energy Production,,Electric Utilities,551010
Energy supplier,Energy Production,Energy Production,Electric Utilities,551010
Nuclear Plant,Energy Production,,Electric Utilities,551010
Nuclear power plant,Energy Production,,Electric Utilities,551010
nuclear_power,Energy Production,,Electric Utilities,551010
Power Plant,Energy Production,,Electric Utilities,551010
Power station,Energy Production,,Electric Utilities,551010
power_plants,Energy Production,,Electric Utilities,551010
Thermal power plant,Energy Production,,Electric Utilities,551010
Industrial gas supplier,Energy Production,Energy Production,Gas Utilities,551020
bioenergy,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Bioenergy Plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Geothermal Plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
geothermal_high,Energy Production,,Independent Power and Renewable Electricity Producers,551050
geothermal_low,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Green energy supplier,Energy Production,,Independent Power and Renewable Electricity Producers,551050
heat plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
hydro_power_high,Energy Production,,Independent Power and Renewable Electricity Producers,551050
hydro_power_low,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Hydroelectric power plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Hydropower Plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Solar Farm,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Solar photovoltaic power plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
solar_high_capacity,Energy Production,,Independent Power and Renewable Electricity Producers,551050
solar_low_capacity,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Wind farm,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Wind Farm,Energy Production,,Independent Power and Renewable Electricity Producers,551050
wind_power_high,Energy Production,,Independent Power and Renewable Electricity Producers,551050
wind_power_low,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Coal Plant,Energy Production,,"Oil, Gas & Consumable Fuels",101020
coal_emissions,Energy Production,,"Oil, Gas & Consumable Fuels",101020
water-reservoirs,Energy Production,,Water Utilities,551040
Stadium,Heavy Industrial & Manufacturing,Other (5km buffer area of influence),?,
Aerospace company,Heavy Industrial & Manufacturing,,Aerospace & Defense,201010
Aircraft maintenance company,Heavy Industrial & Manufacturing,,Aerospace & Defense,201010
Aircraft manufacturer,Heavy Industrial & Manufacturing,,Aerospace & Defense,201010
Ammunition supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Aerospace & Defense,201010
Auto air conditioning service,Heavy Industrial & Manufacturing,,Automobile Components,251010
Auto body parts supplier,Heavy Industrial & Manufacturing,,Automobile Components,251010
Auto parts manufacturer,Heavy Industrial & Manufacturing,,Automobile Components,251010
Auto wrecker,Heavy Industrial & Manufacturing,,Automobile Components,251010
Truck parts supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Automobile Components,251010
Truck topper supplier,Heavy Industrial & Manufacturing,,Automobile Components,251010
Tyre manufacturer,Heavy Industrial & Manufacturing,,Automobile Components,251010
Automative,Heavy Industrial & Manufacturing,,Automobiles,251020
Automotive,Heavy Industrial & Manufacturing,,Automobiles,251020
Car factory,Heavy Industrial & Manufacturing,,Automobiles,251020
Car manufacturer,Heavy Industrial & Manufacturing,,Automobiles,251020
Trailer manufacturer,Heavy Industrial & Manufacturing,,Automobiles,251020
Air conditioning contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Door supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Finishing materials supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Garage door supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Gypsum product supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Heating equipment supplier,Heavy Industrial & Manufacturing,,Building Products,201020
Lighting manufacturer,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Paving materials supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Pipe supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Screw supplier,Heavy Industrial & Manufacturing,,Building Products,201020
Water pump supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Wood and laminate flooring supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Agrochemicals supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
chemical exporter,Heavy Industrial & Manufacturing,,Chemicals,151010
Chemical industry,Heavy Industrial & Manufacturing,,Chemicals,151010
Chemical manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
chemical manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
Chemical plant,Heavy Industrial & Manufacturing,,Chemicals,151010
"Fertiliser Supplier, Agricultural product wholesaler, Agrochemicals supplier",Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
Fertilizer supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
Foam rubber producer,Heavy Industrial & Manufacturing,,Chemicals,151010
Foam rubber supplier,Heavy Industrial & Manufacturing,,Chemicals,151010
Match box manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
Paint manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
petrochemical engineering service,Heavy Industrial & Manufacturing,,Chemicals,151010
Petrochemical Plant,Heavy Industrial & Manufacturing,,Chemicals,151010
petrochemicals,Heavy Industrial & Manufacturing,,Chemicals,151010
Plastic resin manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
